label,kind,threads,host_GB,time_limit_s,gpu,args
boundscore_l1_k256,bounds_core,4,20,14400,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l1_k800,bounds_core,4,44,14400,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l2agiso_k256,bounds_core,4,31,14400,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l2agiso_k800,bounds_core,4,79,14400,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l2agiso_k1350,bounds_core,4,127,14400,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 1350 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l3aniso_k256,bounds_core,4,42,14400,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l3aniso_k800,bounds_core,4,114,14400,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l4aniso_k256,bounds_core,4,53,14400,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l4aniso_k600,bounds_core,4,114,14400,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --sep 1//4 --rank 600 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l2iso_k256,bounds_core,4,98,14400,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
